date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:43:32	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Jul%202026%2007:43:32%20GMT	https://sophiehustin.com/?p=320	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/indexe513.html	(from https://sophiehustin.com/peintures/representation)
12:43:33	23509/23509	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202026%2007:43:33%20GMT	https://sophiehustin.com/peintures/sen-tirer	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/peintures/sen-tirer.html	(from https://sophiehustin.com/peintures/representation)
12:43:33	140982/140982	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Sep%202017%2008:58:04%20GMT	https://sophiehustin.com/wp-content/uploads/2017/09/37-sen-tirer-97x130.jpg	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/wp-content/uploads/2017/09/37-sen-tirer-97x130.jpg	(from https://sophiehustin.com/peintures/sen-tirer)
12:43:33	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Jul%202026%2007:43:33%20GMT	https://sophiehustin.com/?p=261	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/indexd89d.html	(from https://sophiehustin.com/peintures/sen-tirer)
12:43:34	23475/23475	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202026%2007:43:34%20GMT	https://sophiehustin.com/peintures/recherche	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/peintures/recherche.html	(from https://sophiehustin.com/peintures/sen-tirer)
12:43:34	139816/139816	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Sep%202017%2009:01:37%20GMT	https://sophiehustin.com/wp-content/uploads/2017/09/RECHERCHE-97X130.jpg	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/wp-content/uploads/2017/09/RECHERCHE-97X130.jpg	(from https://sophiehustin.com/peintures/recherche)
12:43:34	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Jul%202026%2007:43:34%20GMT	https://sophiehustin.com/?p=259	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/indexc544.html	(from https://sophiehustin.com/peintures/recherche)
12:43:35	23456/23456	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202026%2007:43:35%20GMT	https://sophiehustin.com/peintures/echo	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/peintures/echo.html	(from https://sophiehustin.com/peintures/recherche)
12:43:35	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Jul%202026%2007:43:35%20GMT	https://sophiehustin.com/?p=253	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/index5ed0.html	(from https://sophiehustin.com/peintures/echo)
12:43:35	131751/131751	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Sep%202017%2008:59:40%20GMT	https://sophiehustin.com/wp-content/uploads/2017/09/echo-130x97.jpg	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/wp-content/uploads/2017/09/echo-130x97.jpg	(from https://sophiehustin.com/peintures/echo)
12:43:36	23477/23477	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202026%2007:43:36%20GMT	https://sophiehustin.com/peintures/rencontres	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/peintures/rencontres.html	(from https://sophiehustin.com/peintures/echo)
12:43:36	184810/184810	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Sep%202017%2009:01:42%20GMT	https://sophiehustin.com/wp-content/uploads/2017/09/RENCONTRES-300.jpg	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/wp-content/uploads/2017/09/RENCONTRES-300.jpg	(from https://sophiehustin.com/peintures/rencontres)
12:43:36	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Jul%202026%2007:43:36%20GMT	https://sophiehustin.com/?p=251	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/indexd6e1.html	(from https://sophiehustin.com/peintures/rencontres)
12:43:37	23505/23505	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202026%2007:43:37%20GMT	https://sophiehustin.com/peintures/en-sortir	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/peintures/en-sortir.html	(from https://sophiehustin.com/peintures/rencontres)
12:43:37	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Jul%202026%2007:43:37%20GMT	https://sophiehustin.com/?p=248	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/indexcf9a.html	(from https://sophiehustin.com/peintures/en-sortir)
12:43:38	175770/175770	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Sep%202017%2008:57:46%20GMT	https://sophiehustin.com/wp-content/uploads/2017/09/29-En-sortir-89x116.jpg	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/wp-content/uploads/2017/09/29-En-sortir-89x116.jpg	(from https://sophiehustin.com/peintures/en-sortir)
